tanggal,pasar,komoditas,harga
2026-08-13,Pasar Margahayu,UBI JALAR PUTIH,8000.0
2026-08-13,Pasar Margahayu,UDANG,68000.0
2026-08-13,Pasar Ciwidey,BAWANG BOMBAY,36000.0
2026-08-13,Pasar Ciwidey,BAWANG DAUN,12000.0
2026-08-13,Pasar Ciwidey,BAWANG MERAH,40000.0
2026-08-13,Pasar Ciwidey,BAWANG MERAH BATU,28000.0
2026-08-13,Pasar Ciwidey,BAWANG PUTIH BIASA,36000.0
2026-08-13,Pasar Ciwidey,BAWANG PUTIH KATING,
2026-08-13,Pasar Ciwidey,BAWANG SUMENEP,60000.0
2026-08-13,Pasar Ciwidey,BAYAM,2000.0
2026-08-13,Pasar Ciwidey,BERAS IR. 64,15000.0
2026-08-13,Pasar Ciwidey,BERAS MEDIUM,14500.0
2026-08-13,Pasar Ciwidey,BERAS PREMIUM,16000.0
2026-08-13,Pasar Ciwidey,CABE HIJAU BIASA,22000.0
2026-08-13,Pasar Ciwidey,CABE MERAH KERITING,45000.0
2026-08-13,Pasar Ciwidey,CABE MERAH TANJUNG,90000.0
2026-08-13,Pasar Ciwidey,CABE MERAH TW,80000.0
2026-08-13,Pasar Ciwidey,CABE RAWIT HIJAU,57000.0
2026-08-13,Pasar Ciwidey,CABE RAWIT MERAH,40000.0
2026-08-13,Pasar Ciwidey,DAGING AYAM BROILER,40000.0
2026-08-13,Pasar Ciwidey,DAGING AYAM KAMPUNG,70000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI IMPOR BEKU,110000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI LOKAL HAS DALAM,145000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI LOKAL HAS LUAR,140000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI LOKAL PAHA BELAKANG,145000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI LOKAL PAHA DEPAN,140000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI LOKAL SANDUNG LAMUR,125000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI LOKAL TETELAN,70000.0
2026-08-13,Pasar Ciwidey,DAGING SAPI MURNI,145000.0
2026-08-13,Pasar Ciwidey,GARAM BATA,16000.0
2026-08-13,Pasar Ciwidey,GARAM HALUS YODIUM,3000.0
2026-08-13,Pasar Ciwidey,GAS LPG 3 Kg,23000.0
2026-08-13,Pasar Ciwidey,GULA MERAH,24000.0
2026-08-13,Pasar Ciwidey,GULA PASIR GULA KU,20000.0
2026-08-13,Pasar Ciwidey,GULA PASIR LOKAL,18000.0
2026-08-13,Pasar Ciwidey,IKAN BANDENG,45000.0
2026-08-13,Pasar Ciwidey,Ikan Bawal Air Tawar,32000.0
2026-08-13,Pasar Ciwidey,Ikan Gurame,60000.0
2026-08-13,Pasar Ciwidey,IKAN KEMBUNG,50000.0
2026-08-13,Pasar Ciwidey,Ikan Lele,35000.0
2026-08-13,Pasar Ciwidey,IKAN MAS,28000.0
2026-08-13,Pasar Ciwidey,Ikan Nila,32000.0
2026-08-13,Pasar Ciwidey,Ikan Patin,34000.0
2026-08-13,Pasar Ciwidey,IKAN TONGKOL,46000.0
2026-08-13,Pasar Ciwidey,JAGUNG MANIS,13000.0
2026-08-13,Pasar Ciwidey,JAGUNG PIPILAN,20000.0
2026-08-13,Pasar Ciwidey,JERUK,20000.0
2026-08-13,Pasar Ciwidey,KACANG HIJAU,36000.0
2026-08-13,Pasar Ciwidey,KACANG KEDELAI IMPOR,16000.0
2026-08-13,Pasar Ciwidey,KACANG KEDELAI LOKAL,
2026-08-13,Pasar Ciwidey,KACANG PANJANG,18000.0
2026-08-13,Pasar Ciwidey,KACANG TANAH KUPAS,38000.0
2026-08-13,Pasar Ciwidey,KANGKUNG,2000.0
2026-08-13,Pasar Ciwidey,KENTANG DIENG,22000.0
2026-08-13,Pasar Ciwidey,KETELA POHON,5000.0
2026-08-13,Pasar Ciwidey,MELON,13000.0
2026-08-13,Pasar Ciwidey,MIE INSTAN INDOMIE,3500.0
2026-08-13,Pasar Ciwidey,MINYAK BIMOLI,22500.0
2026-08-13,Pasar Ciwidey,MINYAK CURAH,21500.0
2026-08-13,Pasar Ciwidey,MINYAKITA,20000.0
2026-08-13,Pasar Ciwidey,MINYAK SANIA,22000.0
2026-08-13,Pasar Ciwidey,PAKCOY,7000.0
2026-08-13,Pasar Ciwidey,PEPAYA,15000.0
2026-08-13,Pasar Ciwidey,PISANG,8000.0
2026-08-13,Pasar Ciwidey,SAWI PUTIH,7000.0
2026-08-13,Pasar Ciwidey,SAYURAN BUNCIS,22000.0
2026-08-13,Pasar Ciwidey,SAYURAN KENTANG LOKAL,16000.0
2026-08-13,Pasar Ciwidey,SAYURAN KOL/KUBIS,8000.0
2026-08-13,Pasar Ciwidey,SAYURAN TOMAT,8000.0
2026-08-13,Pasar Ciwidey,SAYURAN WORTEL,20000.0
