tanggal,pasar,curah_hujan_mm,suhu_avg,suhu_max,suhu_min
2025-02-19,Pasar Margahayu,11.3,22.7,26.5,20.0
2025-02-20,Pasar Margahayu,1.9,23.9,28.9,20.4
2025-02-21,Pasar Margahayu,9.4,23.5,29.0,19.4
2025-02-22,Pasar Margahayu,4.9,23.8,27.9,21.6
2025-02-23,Pasar Margahayu,14.1,23.1,26.6,20.3
2025-02-24,Pasar Margahayu,19.1,23.3,27.9,20.9
2025-02-25,Pasar Margahayu,11.4,23.6,28.2,20.8
2025-02-26,Pasar Margahayu,11.5,23.1,27.5,21.3
2025-02-27,Pasar Margahayu,1.5,22.7,27.9,17.6
2025-02-28,Pasar Margahayu,2.9,23.4,27.1,19.0
2025-03-01,Pasar Margahayu,1.2,24.2,28.8,20.6
2025-03-02,Pasar Margahayu,0.2,23.6,28.5,18.6
2025-03-03,Pasar Margahayu,22.9,23.4,27.4,19.0
2025-03-04,Pasar Margahayu,6.7,23.5,28.8,20.8
2025-03-05,Pasar Margahayu,0.4,23.9,29.8,18.8
2025-03-06,Pasar Margahayu,23.2,23.1,29.0,18.3
2025-03-07,Pasar Margahayu,1.3,23.9,29.0,20.9
2025-03-08,Pasar Margahayu,4.3,23.6,28.3,19.8
2025-03-09,Pasar Margahayu,3.8,23.2,26.9,21.0
2025-03-10,Pasar Margahayu,18.7,23.2,28.2,19.7
2025-03-11,Pasar Margahayu,1.7,23.9,29.3,20.3
2025-03-12,Pasar Margahayu,3.8,23.6,27.8,19.2
2025-03-13,Pasar Margahayu,6.2,24.0,28.7,19.8
2025-03-14,Pasar Margahayu,7.0,23.8,29.3,21.0
2025-03-15,Pasar Margahayu,15.2,22.9,27.2,19.4
2025-03-16,Pasar Margahayu,5.8,23.2,28.7,19.2
2025-03-17,Pasar Margahayu,11.3,23.0,28.3,18.9
2025-03-18,Pasar Margahayu,5.8,23.4,25.6,21.3
2025-03-19,Pasar Margahayu,9.4,23.5,27.7,20.2
2025-03-20,Pasar Margahayu,0.2,24.6,31.0,20.7
2025-03-21,Pasar Margahayu,4.0,24.0,28.6,20.7
2025-03-22,Pasar Margahayu,2.7,24.0,29.3,19.7
2025-03-23,Pasar Margahayu,1.1,23.5,30.3,17.9
2025-03-24,Pasar Margahayu,1.7,23.7,28.9,18.9
2025-03-25,Pasar Margahayu,1.6,24.1,28.9,20.2
2025-03-26,Pasar Margahayu,15.3,23.2,28.7,18.8
2025-03-27,Pasar Margahayu,3.4,23.5,29.3,18.7
2025-03-28,Pasar Margahayu,19.8,23.4,28.0,20.7
2025-03-29,Pasar Margahayu,0.2,24.2,29.5,19.1
2025-03-30,Pasar Margahayu,0.7,23.5,29.8,17.2
2025-03-31,Pasar Margahayu,1.0,23.6,29.6,18.3
2025-04-01,Pasar Margahayu,14.0,22.1,26.7,17.7
2025-04-02,Pasar Margahayu,19.4,23.0,26.2,20.5
2025-04-03,Pasar Margahayu,6.7,23.5,27.0,21.3
2025-04-04,Pasar Margahayu,4.4,22.7,26.6,18.8
2025-04-05,Pasar Margahayu,12.5,23.2,28.0,19.5
2025-04-06,Pasar Margahayu,2.4,23.4,27.9,20.5
2025-04-07,Pasar Margahayu,1.6,24.3,29.4,20.5
2025-04-08,Pasar Margahayu,0.0,23.6,30.0,17.3
2025-04-09,Pasar Margahayu,4.2,23.9,30.1,19.3
2025-04-10,Pasar Margahayu,1.4,23.3,27.3,19.4
2025-04-11,Pasar Margahayu,3.8,23.9,27.8,21.6
2025-04-12,Pasar Margahayu,8.8,23.0,26.4,19.9
2025-04-13,Pasar Margahayu,8.7,23.0,26.9,19.8
2025-04-14,Pasar Margahayu,17.6,23.4,27.8,21.3
2025-04-15,Pasar Margahayu,0.5,23.1,27.1,20.1
2025-04-16,Pasar Margahayu,0.1,23.7,29.5,18.7
2025-04-17,Pasar Margahayu,0.0,23.3,28.0,18.3
2025-04-18,Pasar Margahayu,4.5,23.2,28.2,19.0
2025-04-19,Pasar Margahayu,5.2,24.1,28.4,21.5
2025-04-20,Pasar Margahayu,11.3,24.0,28.1,20.8
2025-04-21,Pasar Margahayu,5.7,23.3,27.4,20.6
2025-04-22,Pasar Margahayu,1.3,23.7,28.8,18.9
2025-04-23,Pasar Margahayu,10.6,22.5,28.8,17.6
2025-04-24,Pasar Margahayu,19.5,22.5,28.2,18.5
2025-04-25,Pasar Margahayu,0.5,23.5,28.0,19.8
2025-04-26,Pasar Margahayu,3.8,22.9,25.6,19.3
2025-04-27,Pasar Margahayu,0.0,23.7,29.6,18.2
2025-04-28,Pasar Margahayu,0.0,23.5,29.6,16.2
2025-04-29,Pasar Margahayu,0.3,23.7,29.4,17.2
2025-04-30,Pasar Margahayu,0.2,23.2,29.7,16.8
2025-05-01,Pasar Margahayu,0.0,23.9,29.4,17.9
2025-05-02,Pasar Margahayu,6.5,22.8,29.1,17.1
2025-05-03,Pasar Margahayu,0.5,23.1,28.5,18.5
2025-05-04,Pasar Margahayu,8.2,23.5,27.9,20.4
2025-05-05,Pasar Margahayu,0.2,23.5,29.3,19.0
2025-05-06,Pasar Margahayu,0.0,23.7,29.7,18.5
2025-05-07,Pasar Margahayu,0.6,23.2,27.9,18.8
2025-05-08,Pasar Margahayu,4.3,23.4,28.2,19.5
2025-05-09,Pasar Margahayu,0.6,24.0,28.8,18.8
2025-05-10,Pasar Margahayu,2.0,24.0,29.8,19.1
2025-05-11,Pasar Margahayu,5.7,24.1,29.6,20.4
2025-05-12,Pasar Margahayu,0.5,23.5,28.2,19.0
2025-05-13,Pasar Margahayu,4.5,23.6,28.1,19.6
2025-05-14,Pasar Margahayu,4.4,23.4,28.0,21.1
2025-05-15,Pasar Margahayu,3.0,23.6,28.8,19.2
2025-05-16,Pasar Margahayu,11.7,23.6,27.7,21.2
2025-05-17,Pasar Margahayu,3.0,23.7,28.5,20.1
2025-05-18,Pasar Margahayu,2.1,23.3,27.9,19.4
2025-05-19,Pasar Margahayu,0.6,23.4,27.2,20.2
2025-05-20,Pasar Margahayu,0.8,24.0,27.9,20.5
2025-05-21,Pasar Margahayu,17.4,22.3,24.3,20.4
2025-05-22,Pasar Margahayu,13.3,23.2,26.7,21.1
2025-05-23,Pasar Margahayu,13.9,22.3,26.4,19.5
2025-05-24,Pasar Margahayu,11.1,23.3,26.7,21.2
2025-05-25,Pasar Margahayu,3.0,23.9,26.9,21.8
