pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Margahayu,KACANG HIJAU,2026-09-10,28000.0,2026-09-11,28021,28000,619,484,28.0,2026-09-13,28021,28000,1251,979,27.7,2026-09-17,28145,28000,2000,1632,22.6
Pasar Sehat Cicalengka,KACANG HIJAU,2026-09-10,35000.0,2026-09-11,35014,35000,619,484,28.0,2026-09-13,34864,35000,1251,979,27.7,2026-09-17,34885,35000,2000,1632,22.6
Pasar Sehat Soreang,KACANG HIJAU,2026-09-10,35000.0,2026-09-11,35037,35000,619,484,28.0,2026-09-13,34876,35000,1251,979,27.7,2026-09-17,34910,35000,2000,1632,22.6
Pasar Stasiun Majalaya,KACANG HIJAU,2026-09-10,38000.0,2026-09-11,38032,38000,619,484,28.0,2026-09-13,38020,38000,1251,979,27.7,2026-09-17,38038,38000,2000,1632,22.6
Pasar Baleendah,KACANG TANAH KUPAS,2026-09-10,38000.0,2026-09-11,38024,38000,619,484,28.0,2026-09-13,38049,38000,1251,979,27.7,2026-09-17,38005,38000,2000,1632,22.6
Pasar Banjaran,KACANG TANAH KUPAS,2026-09-09,38000.0,2026-09-10,38031,38000,619,484,28.0,2026-09-12,38062,38000,1251,979,27.7,2026-09-16,38021,38000,2000,1632,22.6
Pasar Baru Majalaya,KACANG TANAH KUPAS,2026-09-10,36000.0,2026-09-11,36021,36000,619,484,28.0,2026-09-13,36017,36000,1251,979,27.7,2026-09-17,36083,36000,2000,1632,22.6
Pasar Cileunyi,KACANG TANAH KUPAS,2026-09-10,40000.0,2026-09-11,39989,40000,619,484,28.0,2026-09-13,40009,40000,1251,979,27.7,2026-09-17,40468,40000,2000,1632,22.6
Pasar Ciwidey,KACANG TANAH KUPAS,2026-09-10,40000.0,2026-09-11,39992,40000,619,484,28.0,2026-09-13,39926,40000,1251,979,27.7,2026-09-17,40452,40000,2000,1632,22.6
Pasar Margahayu,KACANG TANAH KUPAS,2026-09-10,38000.0,2026-09-11,38036,38000,619,484,28.0,2026-09-13,38089,38000,1251,979,27.7,2026-09-17,38023,38000,2000,1632,22.6
Pasar Sehat Cicalengka,KACANG TANAH KUPAS,2026-09-10,40000.0,2026-09-11,39987,40000,619,484,28.0,2026-09-13,40007,40000,1251,979,27.7,2026-09-17,40391,40000,2000,1632,22.6
Pasar Sehat Soreang,KACANG TANAH KUPAS,2026-09-10,40000.0,2026-09-11,40021,40000,619,484,28.0,2026-09-13,40083,40000,1251,979,27.7,2026-09-17,40458,40000,2000,1632,22.6
Pasar Stasiun Majalaya,KACANG TANAH KUPAS,2026-09-10,40000.0,2026-09-11,40015,40000,619,484,28.0,2026-09-13,40112,40000,1251,979,27.7,2026-09-17,40382,40000,2000,1632,22.6
Pasar Baleendah,KENTANG DIENG,2026-09-10,18000.0,2026-09-11,17998,18000,619,484,28.0,2026-09-13,17879,18000,1251,979,27.7,2026-09-17,17917,18000,2000,1632,22.6
Pasar Banjaran,KENTANG DIENG,2026-09-09,19000.0,2026-09-10,19004,19000,619,484,28.0,2026-09-12,18879,19000,1251,979,27.7,2026-09-16,18893,19000,2000,1632,22.6
Pasar Baru Majalaya,KENTANG DIENG,2026-09-10,20000.0,2026-09-11,20012,20000,619,484,28.0,2026-09-13,19866,20000,1251,979,27.7,2026-09-17,19815,20000,2000,1632,22.6
Pasar Cileunyi,KENTANG DIENG,2026-09-10,18000.0,2026-09-11,18007,18000,619,484,28.0,2026-09-13,17907,18000,1251,979,27.7,2026-09-17,17939,18000,2000,1632,22.6
Pasar Ciwidey,KENTANG DIENG,2026-09-10,20000.0,2026-09-11,19996,20000,619,484,28.0,2026-09-13,19847,20000,1251,979,27.7,2026-09-17,19783,20000,2000,1632,22.6
Pasar Margahayu,KENTANG DIENG,2026-09-10,20000.0,2026-09-11,20001,20000,619,484,28.0,2026-09-13,19854,20000,1251,979,27.7,2026-09-17,19838,20000,2000,1632,22.6
Pasar Sehat Cicalengka,KENTANG DIENG,2026-09-10,20000.0,2026-09-11,20008,20000,619,484,28.0,2026-09-13,19847,20000,1251,979,27.7,2026-09-17,19791,20000,2000,1632,22.6
Pasar Sehat Soreang,KENTANG DIENG,2026-09-10,20000.0,2026-09-11,19990,20000,619,484,28.0,2026-09-13,19851,20000,1251,979,27.7,2026-09-17,19790,20000,2000,1632,22.6
Pasar Stasiun Majalaya,KENTANG DIENG,2026-09-10,18000.0,2026-09-11,18019,18000,619,484,28.0,2026-09-13,17928,18000,1251,979,27.7,2026-09-17,17934,18000,2000,1632,22.6
Pasar Baleendah,KETELA POHON,2026-09-10,5000.0,2026-09-11,5014,5000,619,484,28.0,2026-09-13,4976,5000,1251,979,27.7,2026-09-17,4981,5000,2000,1632,22.6
Pasar Banjaran,KETELA POHON,2026-09-09,5000.0,2026-09-10,5019,5000,619,484,28.0,2026-09-12,4976,5000,1251,979,27.7,2026-09-16,4981,5000,2000,1632,22.6
Pasar Baru Majalaya,KETELA POHON,2026-09-10,6000.0,2026-09-11,6016,6000,619,484,28.0,2026-09-13,5985,6000,1251,979,27.7,2026-09-17,5992,6000,2000,1632,22.6
Pasar Cileunyi,KETELA POHON,2026-09-10,5000.0,2026-09-11,5011,5000,619,484,28.0,2026-09-13,4980,5000,1251,979,27.7,2026-09-17,5017,5000,2000,1632,22.6
Pasar Ciwidey,KETELA POHON,2026-09-10,5000.0,2026-09-11,5000,5000,619,484,28.0,2026-09-13,4970,5000,1251,979,27.7,2026-09-17,4981,5000,2000,1632,22.6
Pasar Margahayu,KETELA POHON,2026-09-10,6000.0,2026-09-11,6025,6000,619,484,28.0,2026-09-13,5997,6000,1251,979,27.7,2026-09-17,5997,6000,2000,1632,22.6
Pasar Sehat Cicalengka,KETELA POHON,2026-09-10,6000.0,2026-09-11,6012,6000,619,484,28.0,2026-09-13,5967,6000,1251,979,27.7,2026-09-17,5969,6000,2000,1632,22.6
Pasar Sehat Soreang,KETELA POHON,2026-09-10,6000.0,2026-09-11,6014,6000,619,484,28.0,2026-09-13,5976,6000,1251,979,27.7,2026-09-17,5967,6000,2000,1632,22.6
Pasar Stasiun Majalaya,KETELA POHON,2026-09-10,6000.0,2026-09-11,6023,6000,619,484,28.0,2026-09-13,5991,6000,1251,979,27.7,2026-09-17,5996,6000,2000,1632,22.6
Pasar Baleendah,PISANG,2026-09-10,6500.0,2026-09-11,6514,6500,619,484,28.0,2026-09-13,6469,6500,1251,979,27.7,2026-09-17,6473,6500,2000,1632,22.6
Pasar Banjaran,PISANG,2026-09-09,7000.0,2026-09-10,7019,7000,619,484,28.0,2026-09-12,6969,7000,1251,979,27.7,2026-09-16,6973,7000,2000,1632,22.6
Pasar Baru Majalaya,PISANG,2026-09-10,7000.0,2026-09-11,7016,7000,619,484,28.0,2026-09-13,6982,7000,1251,979,27.7,2026-09-17,7004,7000,2000,1632,22.6
Pasar Cileunyi,PISANG,2026-09-10,8000.0,2026-09-11,8011,8000,619,484,28.0,2026-09-13,7973,8000,1251,979,27.7,2026-09-17,8006,8000,2000,1632,22.6
Pasar Ciwidey,PISANG,2026-09-10,8000.0,2026-09-11,8000,8000,619,484,28.0,2026-09-13,7964,8000,1251,979,27.7,2026-09-17,7970,8000,2000,1632,22.6
Pasar Margahayu,PISANG,2026-09-10,8000.0,2026-09-11,8025,8000,619,484,28.0,2026-09-13,7994,8000,1251,979,27.7,2026-09-17,8006,8000,2000,1632,22.6
Pasar Sehat Cicalengka,PISANG,2026-09-10,8000.0,2026-09-11,8012,8000,619,484,28.0,2026-09-13,7964,8000,1251,979,27.7,2026-09-17,7978,8000,2000,1632,22.6
Pasar Sehat Soreang,PISANG,2026-09-10,8000.0,2026-09-11,8014,8000,619,484,28.0,2026-09-13,7973,8000,1251,979,27.7,2026-09-17,7976,8000,2000,1632,22.6
Pasar Stasiun Majalaya,PISANG,2026-09-10,8000.0,2026-09-11,8023,8000,619,484,28.0,2026-09-13,7988,8000,1251,979,27.7,2026-09-17,8005,8000,2000,1632,22.6
Pasar Baleendah,SAYURAN BUNCIS,2026-09-10,24000.0,2026-09-11,23894,24000,619,484,28.0,2026-09-13,23335,24000,1251,979,27.7,2026-09-17,22340,24000,2000,1632,22.6
Pasar Banjaran,SAYURAN BUNCIS,2026-09-09,24000.0,2026-09-10,23906,24000,619,484,28.0,2026-09-12,23307,24000,1251,979,27.7,2026-09-16,22281,24000,2000,1632,22.6
Pasar Baru Majalaya,SAYURAN BUNCIS,2026-09-10,18000.0,2026-09-11,17894,18000,619,484,28.0,2026-09-13,17427,18000,1251,979,27.7,2026-09-17,16798,18000,2000,1632,22.6
Pasar Cileunyi,SAYURAN BUNCIS,2026-09-10,20000.0,2026-09-11,19884,20000,619,484,28.0,2026-09-13,20192,20000,1251,979,27.7,2026-09-17,18382,20000,2000,1632,22.6
Pasar Ciwidey,SAYURAN BUNCIS,2026-09-10,20000.0,2026-09-11,19871,20000,619,484,28.0,2026-09-13,19804,20000,1251,979,27.7,2026-09-17,18226,20000,2000,1632,22.6
Pasar Margahayu,SAYURAN BUNCIS,2026-09-10,28000.0,2026-09-11,27910,28000,619,484,28.0,2026-09-13,27282,28000,1251,979,27.7,2026-09-17,26480,28000,2000,1632,22.6
Pasar Sehat Cicalengka,SAYURAN BUNCIS,2026-09-10,20000.0,2026-09-11,19892,20000,619,484,28.0,2026-09-13,19585,20000,1251,979,27.7,2026-09-17,18634,20000,2000,1632,22.6
Pasar Sehat Soreang,SAYURAN BUNCIS,2026-09-10,24000.0,2026-09-11,23896,24000,619,484,28.0,2026-09-13,23687,24000,1251,979,27.7,2026-09-17,21950,24000,2000,1632,22.6
Pasar Stasiun Majalaya,SAYURAN BUNCIS,2026-09-10,20000.0,2026-09-11,19904,20000,619,484,28.0,2026-09-13,19302,20000,1251,979,27.7,2026-09-17,18599,20000,2000,1632,22.6
Pasar Baleendah,SAYURAN KENTANG LOKAL,2026-09-10,15000.0,2026-09-11,15008,15000,619,484,28.0,2026-09-13,14925,15000,1251,979,27.7,2026-09-17,14891,15000,2000,1632,22.6
Pasar Banjaran,SAYURAN KENTANG LOKAL,2026-09-09,16000.0,2026-09-10,16013,16000,619,484,28.0,2026-09-12,15925,16000,1251,979,27.7,2026-09-16,15874,16000,2000,1632,22.6
Pasar Baru Majalaya,SAYURAN KENTANG LOKAL,2026-09-10,15000.0,2026-09-11,15012,15000,619,484,28.0,2026-09-13,14968,15000,1251,979,27.7,2026-09-17,14922,15000,2000,1632,22.6
Pasar Cileunyi,SAYURAN KENTANG LOKAL,2026-09-10,16000.0,2026-09-11,16007,16000,619,484,28.0,2026-09-13,15952,16000,1251,979,27.7,2026-09-17,15896,16000,2000,1632,22.6
Pasar Ciwidey,SAYURAN KENTANG LOKAL,2026-09-10,16000.0,2026-09-11,15996,16000,619,484,28.0,2026-09-13,15949,16000,1251,979,27.7,2026-09-17,15891,16000,2000,1632,22.6
Pasar Margahayu,SAYURAN KENTANG LOKAL,2026-09-10,15000.0,2026-09-11,15011,15000,619,484,28.0,2026-09-13,14956,15000,1251,979,27.7,2026-09-17,14927,15000,2000,1632,22.6
Pasar Sehat Cicalengka,SAYURAN KENTANG LOKAL,2026-09-10,15000.0,2026-09-11,15008,15000,619,484,28.0,2026-09-13,15048,15000,1251,979,27.7,2026-09-17,14869,15000,2000,1632,22.6
Pasar Sehat Soreang,SAYURAN KENTANG LOKAL,2026-09-10,15000.0,2026-09-11,15000,15000,619,484,28.0,2026-09-13,14953,15000,1251,979,27.7,2026-09-17,14897,15000,2000,1632,22.6
Pasar Stasiun Majalaya,SAYURAN KENTANG LOKAL,2026-09-10,15000.0,2026-09-11,15019,15000,619,484,28.0,2026-09-13,14974,15000,1251,979,27.7,2026-09-17,14926,15000,2000,1632,22.6
Pasar Baleendah,SAYURAN KOL/KUBIS,2026-09-10,7000.0,2026-09-11,7012,7000,619,484,28.0,2026-09-13,6930,7000,1251,979,27.7,2026-09-17,6968,7000,2000,1632,22.6
Pasar Banjaran,SAYURAN KOL/KUBIS,2026-09-09,6500.0,2026-09-10,6517,6500,619,484,28.0,2026-09-12,6430,6500,1251,979,27.7,2026-09-16,6482,6500,2000,1632,22.6
Pasar Baru Majalaya,SAYURAN KOL/KUBIS,2026-09-10,7000.0,2026-09-11,7016,7000,619,484,28.0,2026-09-13,6964,7000,1251,979,27.7,2026-09-17,6981,7000,2000,1632,22.6
Pasar Cileunyi,SAYURAN KOL/KUBIS,2026-09-10,8000.0,2026-09-11,8011,8000,619,484,28.0,2026-09-13,7955,8000,1251,979,27.7,2026-09-17,7889,8000,2000,1632,22.6
Pasar Ciwidey,SAYURAN KOL/KUBIS,2026-09-10,7000.0,2026-09-11,6995,7000,619,484,28.0,2026-09-13,6987,7000,1251,979,27.7,2026-09-17,7114,7000,2000,1632,22.6
Pasar Margahayu,SAYURAN KOL/KUBIS,2026-09-10,8000.0,2026-09-11,8015,8000,619,484,28.0,2026-09-13,7955,8000,1251,979,27.7,2026-09-17,7937,8000,2000,1632,22.6
Pasar Sehat Cicalengka,SAYURAN KOL/KUBIS,2026-09-10,8000.0,2026-09-11,8012,8000,619,484,28.0,2026-09-13,7952,8000,1251,979,27.7,2026-09-17,7856,8000,2000,1632,22.6
Pasar Sehat Soreang,SAYURAN KOL/KUBIS,2026-09-10,6000.0,2026-09-11,6004,6000,619,484,28.0,2026-09-13,5992,6000,1251,979,27.7,2026-09-17,6121,6000,2000,1632,22.6
Pasar Stasiun Majalaya,SAYURAN KOL/KUBIS,2026-09-10,6000.0,2026-09-11,6023,6000,619,484,28.0,2026-09-13,6006,6000,1251,979,27.7,2026-09-17,6136,6000,2000,1632,22.6
Pasar Baleendah,SAYURAN TOMAT,2026-09-10,8000.0,2026-09-11,8044,8000,619,484,28.0,2026-09-13,8156,8000,1251,979,27.7,2026-09-17,8525,8000,2000,1632,22.6
Pasar Banjaran,SAYURAN TOMAT,2026-09-09,9000.0,2026-09-10,9089,9000,619,484,28.0,2026-09-12,9210,9000,1251,979,27.7,2026-09-16,9316,9000,2000,1632,22.6
Pasar Baru Majalaya,SAYURAN TOMAT,2026-09-10,7000.0,2026-09-11,7043,7000,619,484,28.0,2026-09-13,7231,7000,1251,979,27.7,2026-09-17,7597,7000,2000,1632,22.6
Pasar Cileunyi,SAYURAN TOMAT,2026-09-10,8000.0,2026-09-11,8037,8000,619,484,28.0,2026-09-13,8458,8000,1251,979,27.7,2026-09-17,8383,8000,2000,1632,22.6
Pasar Ciwidey,SAYURAN TOMAT,2026-09-10,8000.0,2026-09-11,8085,8000,619,484,28.0,2026-09-13,8585,8000,1251,979,27.7,2026-09-17,8733,8000,2000,1632,22.6
Pasar Margahayu,SAYURAN TOMAT,2026-09-10,10000.0,2026-09-11,10120,10000,619,484,28.0,2026-09-13,10160,10000,1251,979,27.7,2026-09-17,10648,10000,2000,1632,22.6
Pasar Sehat Cicalengka,SAYURAN TOMAT,2026-09-10,6000.0,2026-09-11,6028,6000,619,484,28.0,2026-09-13,6487,6000,1251,979,27.7,2026-09-17,6717,6000,2000,1632,22.6
Pasar Sehat Soreang,SAYURAN TOMAT,2026-09-10,6000.0,2026-09-11,6083,6000,619,484,28.0,2026-09-13,6256,6000,1251,979,27.7,2026-09-17,6894,6000,2000,1632,22.6
Pasar Stasiun Majalaya,SAYURAN TOMAT,2026-09-10,8000.0,2026-09-11,8051,8000,619,484,28.0,2026-09-13,8162,8000,1251,979,27.7,2026-09-17,8601,8000,2000,1632,22.6
Pasar Baleendah,SAYURAN WORTEL,2026-09-10,16000.0,2026-09-11,16015,16000,619,484,28.0,2026-09-13,15850,16000,1251,979,27.7,2026-09-17,16067,16000,2000,1632,22.6
Pasar Banjaran,SAYURAN WORTEL,2026-09-09,14000.0,2026-09-10,14034,14000,619,484,28.0,2026-09-12,13971,14000,1251,979,27.7,2026-09-16,14168,14000,2000,1632,22.6
Pasar Baru Majalaya,SAYURAN WORTEL,2026-09-10,18000.0,2026-09-11,17939,18000,619,484,28.0,2026-09-13,17852,18000,1251,979,27.7,2026-09-17,18039,18000,2000,1632,22.6
Pasar Cileunyi,SAYURAN WORTEL,2026-09-10,16000.0,2026-09-11,15932,16000,619,484,28.0,2026-09-13,15850,16000,1251,979,27.7,2026-09-17,15978,16000,2000,1632,22.6
Pasar Ciwidey,SAYURAN WORTEL,2026-09-10,17000.0,2026-09-11,16999,17000,619,484,28.0,2026-09-13,16933,17000,1251,979,27.7,2026-09-17,16997,17000,2000,1632,22.6
Pasar Margahayu,SAYURAN WORTEL,2026-09-10,20000.0,2026-09-11,19957,20000,619,484,28.0,2026-09-13,19852,20000,1251,979,27.7,2026-09-17,20113,20000,2000,1632,22.6
Pasar Sehat Cicalengka,SAYURAN WORTEL,2026-09-10,16000.0,2026-09-11,16023,16000,619,484,28.0,2026-09-13,15835,16000,1251,979,27.7,2026-09-17,16018,16000,2000,1632,22.6
Pasar Sehat Soreang,SAYURAN WORTEL,2026-09-10,16000.0,2026-09-11,16025,16000,619,484,28.0,2026-09-13,15910,16000,1251,979,27.7,2026-09-17,16069,16000,2000,1632,22.6
Pasar Stasiun Majalaya,SAYURAN WORTEL,2026-09-10,16000.0,2026-09-11,16025,16000,619,484,28.0,2026-09-13,15929,16000,1251,979,27.7,2026-09-17,16041,16000,2000,1632,22.6
Pasar Baleendah,TOMAT HIJAU,2026-09-10,6000.0,2026-09-11,6016,6000,619,484,28.0,2026-09-13,6015,6000,1251,979,27.7,2026-09-17,6310,6000,2000,1632,22.6
Pasar Banjaran,TOMAT HIJAU,2026-09-09,6000.0,2026-09-10,6021,6000,619,484,28.0,2026-09-12,6015,6000,1251,979,27.7,2026-09-16,6202,6000,2000,1632,22.6
Pasar Baru Majalaya,TOMAT HIJAU,2026-09-10,7000.0,2026-09-11,7018,7000,619,484,28.0,2026-09-13,6992,7000,1251,979,27.7,2026-09-17,7179,7000,2000,1632,22.6
Pasar Cileunyi,TOMAT HIJAU,2026-09-10,6000.0,2026-09-11,6011,6000,619,484,28.0,2026-09-13,6019,6000,1251,979,27.7,2026-09-17,6282,6000,2000,1632,22.6
Pasar Ciwidey,TOMAT HIJAU,2026-09-10,5000.0,2026-09-11,5002,5000,619,484,28.0,2026-09-13,5013,5000,1251,979,27.7,2026-09-17,5257,5000,2000,1632,22.6
Pasar Margahayu,TOMAT HIJAU,2026-09-10,8000.0,2026-09-11,8027,8000,619,484,28.0,2026-09-13,8004,8000,1251,979,27.7,2026-09-17,8088,8000,2000,1632,22.6
Pasar Sehat Cicalengka,TOMAT HIJAU,2026-09-10,5000.0,2026-09-11,5014,5000,619,484,28.0,2026-09-13,5013,5000,1251,979,27.7,2026-09-17,5283,5000,2000,1632,22.6
Pasar Sehat Soreang,TOMAT HIJAU,2026-09-10,5000.0,2026-09-11,5016,5000,619,484,28.0,2026-09-13,5023,5000,1251,979,27.7,2026-09-17,5249,5000,2000,1632,22.6
Pasar Stasiun Majalaya,TOMAT HIJAU,2026-09-10,7000.0,2026-09-11,7025,7000,619,484,28.0,2026-09-13,6998,7000,1251,979,27.7,2026-09-17,7182,7000,2000,1632,22.6
Pasar Baleendah,UBI JALAR PUTIH,2026-09-10,8000.0,2026-09-11,8014,8000,619,484,28.0,2026-09-13,7971,8000,1251,979,27.7,2026-09-17,7976,8000,2000,1632,22.6
Pasar Banjaran,UBI JALAR PUTIH,2026-09-09,12000.0,2026-09-10,12057,12000,619,484,28.0,2026-09-12,12007,12000,1251,979,27.7,2026-09-16,12612,12000,2000,1632,22.6
Pasar Baru Majalaya,UBI JALAR PUTIH,2026-09-10,7000.0,2026-09-11,7016,7000,619,484,28.0,2026-09-13,6984,7000,1251,979,27.7,2026-09-17,7010,7000,2000,1632,22.6
Pasar Cileunyi,UBI JALAR PUTIH,2026-09-10,8000.0,2026-09-11,8011,8000,619,484,28.0,2026-09-13,7975,8000,1251,979,27.7,2026-09-17,8012,8000,2000,1632,22.6
Pasar Ciwidey,UBI JALAR PUTIH,2026-09-10,9000.0,2026-09-11,9000,9000,619,484,28.0,2026-09-13,8966,9000,1251,979,27.7,2026-09-17,8976,9000,2000,1632,22.6
Pasar Margahayu,UBI JALAR PUTIH,2026-09-10,8000.0,2026-09-11,8025,8000,619,484,28.0,2026-09-13,7996,8000,1251,979,27.7,2026-09-17,8012,8000,2000,1632,22.6
Pasar Sehat Cicalengka,UBI JALAR PUTIH,2026-09-10,8000.0,2026-09-11,8012,8000,619,484,28.0,2026-09-13,7966,8000,1251,979,27.7,2026-09-17,7984,8000,2000,1632,22.6
Pasar Sehat Soreang,UBI JALAR PUTIH,2026-09-10,8000.0,2026-09-11,8014,8000,619,484,28.0,2026-09-13,7975,8000,1251,979,27.7,2026-09-17,7982,8000,2000,1632,22.6
Pasar Stasiun Majalaya,UBI JALAR PUTIH,2026-09-10,8000.0,2026-09-11,8023,8000,619,484,28.0,2026-09-13,7990,8000,1251,979,27.7,2026-09-17,8010,8000,2000,1632,22.6
