pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Banjaran,BAWANG DAUN,2026-09-09,15000.0,2026-09-10,14957,15000,619,484,28.0,2026-09-12,14586,15000,1251,979,27.7,2026-09-16,14412,15000,2000,1632,22.6
Pasar Baru Majalaya,BAWANG DAUN,2026-09-10,14000.0,2026-09-11,13942,14000,619,484,28.0,2026-09-13,13754,14000,1251,979,27.7,2026-09-17,13689,14000,2000,1632,22.6
Pasar Cileunyi,BAWANG DAUN,2026-09-10,16000.0,2026-09-11,15936,16000,619,484,28.0,2026-09-13,15753,16000,1251,979,27.7,2026-09-17,15664,16000,2000,1632,22.6
Pasar Ciwidey,BAWANG DAUN,2026-09-10,16000.0,2026-09-11,15951,16000,619,484,28.0,2026-09-13,15729,16000,1251,979,27.7,2026-09-17,15345,16000,2000,1632,22.6
Pasar Margahayu,BAWANG DAUN,2026-09-10,16000.0,2026-09-11,15968,16000,619,484,28.0,2026-09-13,15725,16000,1251,979,27.7,2026-09-17,15717,16000,2000,1632,22.6
Pasar Sehat Cicalengka,BAWANG DAUN,2026-09-10,14000.0,2026-09-11,13921,14000,619,484,28.0,2026-09-13,13760,14000,1251,979,27.7,2026-09-17,13653,14000,2000,1632,22.6
Pasar Sehat Soreang,BAWANG DAUN,2026-09-10,15000.0,2026-09-11,14944,15000,619,484,28.0,2026-09-13,14611,15000,1251,979,27.7,2026-09-17,14401,15000,2000,1632,22.6
Pasar Stasiun Majalaya,BAWANG DAUN,2026-09-10,14000.0,2026-09-11,13945,14000,619,484,28.0,2026-09-13,13760,14000,1251,979,27.7,2026-09-17,13676,14000,2000,1632,22.6
Pasar Baleendah,BAWANG MERAH,2026-09-10,32000.0,2026-09-11,32014,32000,619,484,28.0,2026-09-13,32990,32000,1251,979,27.7,2026-09-17,32882,32000,2000,1632,22.6
Pasar Banjaran,BAWANG MERAH,2026-09-09,32000.0,2026-09-10,32095,32000,619,484,28.0,2026-09-12,32872,32000,1251,979,27.7,2026-09-16,33071,32000,2000,1632,22.6
Pasar Baru Majalaya,BAWANG MERAH,2026-09-10,32000.0,2026-09-11,32056,32000,619,484,28.0,2026-09-13,33325,32000,1251,979,27.7,2026-09-17,33876,32000,2000,1632,22.6
Pasar Cileunyi,BAWANG MERAH,2026-09-10,30000.0,2026-09-11,30055,30000,619,484,28.0,2026-09-13,31497,30000,1251,979,27.7,2026-09-17,30952,30000,2000,1632,22.6
Pasar Ciwidey,BAWANG MERAH,2026-09-10,35000.0,2026-09-11,35395,35000,619,484,28.0,2026-09-13,36690,35000,1251,979,27.7,2026-09-17,36458,35000,2000,1632,22.6
Pasar Margahayu,BAWANG MERAH,2026-09-10,36000.0,2026-09-11,35985,36000,619,484,28.0,2026-09-13,37065,36000,1251,979,27.7,2026-09-17,37643,36000,2000,1632,22.6
Pasar Sehat Cicalengka,BAWANG MERAH,2026-09-10,25000.0,2026-09-11,24856,25000,619,484,28.0,2026-09-13,26370,25000,1251,979,27.7,2026-09-17,26652,25000,2000,1632,22.6
Pasar Sehat Soreang,BAWANG MERAH,2026-09-10,30000.0,2026-09-11,30106,30000,619,484,28.0,2026-09-13,31071,30000,1251,979,27.7,2026-09-17,31558,30000,2000,1632,22.6
Pasar Stasiun Majalaya,BAWANG MERAH,2026-09-10,36000.0,2026-09-11,35815,36000,619,484,28.0,2026-09-13,37264,36000,1251,979,27.7,2026-09-17,38095,36000,2000,1632,22.6
Pasar Baleendah,BAWANG MERAH BATU,2026-09-10,28000.0,2026-09-11,28011,28000,619,484,28.0,2026-09-13,28164,28000,1251,979,27.7,2026-09-17,28556,28000,2000,1632,22.6
Pasar Banjaran,BAWANG MERAH BATU,2026-09-09,27000.0,2026-09-10,27036,27000,619,484,28.0,2026-09-12,27351,27000,1251,979,27.7,2026-09-16,28140,27000,2000,1632,22.6
Pasar Baru Majalaya,BAWANG MERAH BATU,2026-09-10,28000.0,2026-09-11,28015,28000,619,484,28.0,2026-09-13,28211,28000,1251,979,27.7,2026-09-17,28775,28000,2000,1632,22.6
Pasar Cileunyi,BAWANG MERAH BATU,2026-09-10,28000.0,2026-09-11,27966,28000,619,484,28.0,2026-09-13,28428,28000,1251,979,27.7,2026-09-17,28548,28000,2000,1632,22.6
Pasar Ciwidey,BAWANG MERAH BATU,2026-09-10,28000.0,2026-09-11,28178,28000,619,484,28.0,2026-09-13,28480,28000,1251,979,27.7,2026-09-17,29102,28000,2000,1632,22.6
Pasar Sehat Cicalengka,BAWANG MERAH BATU,2026-09-10,25000.0,2026-09-11,24983,25000,619,484,28.0,2026-09-13,25519,25000,1251,979,27.7,2026-09-17,26696,25000,2000,1632,22.6
Pasar Sehat Soreang,BAWANG MERAH BATU,2026-09-10,25000.0,2026-09-11,25036,25000,619,484,28.0,2026-09-13,25571,25000,1251,979,27.7,2026-09-17,26579,25000,2000,1632,22.6
Pasar Stasiun Majalaya,BAWANG MERAH BATU,2026-09-10,30000.0,2026-09-11,30022,30000,619,484,28.0,2026-09-13,30362,30000,1251,979,27.7,2026-09-17,31214,30000,2000,1632,22.6
Pasar Baleendah,BAWANG PUTIH BIASA,2026-09-10,35000.0,2026-09-11,35054,35000,619,484,28.0,2026-09-13,35052,35000,1251,979,27.7,2026-09-17,35007,35000,2000,1632,22.6
Pasar Banjaran,BAWANG PUTIH BIASA,2026-09-09,32000.0,2026-09-10,32059,32000,619,484,28.0,2026-09-12,32065,32000,1251,979,27.7,2026-09-16,31936,32000,2000,1632,22.6
